123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
789, 48, 1
123, 2, 1
456, 1, 3
